2019-03-12 18:32:30,921 - ClusterTrainer - INFO - |  Hyperparameter  |         Value         |
| :--------------- | :-------------------- |
| lr               | 3.344654774494276e-05 |
| code_size        | 68                    |
| lin2_in_channels | 117                   |
| dropout          | 0.3063729927050812    |

2019-03-12 18:54:32,039 - ClusterTrainer - INFO -    > [282368/517313 (55%), 18.14s] Loss: 0.004912 
2019-03-12 18:54:35,062 - ClusterTrainer - INFO -    > [290432/517313 (56%), 17.33s] Loss: 0.004978 
2019-03-12 18:54:38,092 - ClusterTrainer - INFO -    > [298496/517313 (58%), 16.94s] Loss: 0.005030 
2019-03-12 18:54:41,116 - ClusterTrainer - INFO -    > [306560/517313 (59%), 16.02s] Loss: 0.004983 
2019-03-12 18:54:44,143 - ClusterTrainer - INFO -    > [314624/517313 (61%), 15.33s] Loss: 0.005186 
2019-03-12 18:54:47,174 - ClusterTrainer - INFO -    > [322688/517313 (62%), 14.88s] Loss: 0.004600 
2019-03-12 18:54:50,197 - ClusterTrainer - INFO -    > [330752/517313 (64%), 14.26s] Loss: 0.005072 
2019-03-12 18:54:53,224 - ClusterTrainer - INFO -    > [338816/517313 (65%), 13.82s] Loss: 0.004692 
2019-03-12 18:54:56,250 - ClusterTrainer - INFO -    > [346880/517313 (67%), 12.97s] Loss: 0.004677 
2019-03-12 18:54:59,265 - ClusterTrainer - INFO -    > [354944/517313 (69%), 12.43s] Loss: 0.004837 
2019-03-12 18:55:02,295 - ClusterTrainer - INFO -    > [363008/517313 (70%), 11.83s] Loss: 0.005035 
2019-03-12 18:55:05,319 - ClusterTrainer - INFO -    > [371072/517313 (72%), 11.15s] Loss: 0.004570 
2019-03-12 18:55:08,350 - ClusterTrainer - INFO -    > [379136/517313 (73%), 10.59s] Loss: 0.004512 
2019-03-12 18:55:11,384 - ClusterTrainer - INFO -    > [387200/517313 (75%), 10.00s] Loss: 0.004598 
2019-03-12 18:55:14,402 - ClusterTrainer - INFO -    > [395264/517313 (76%), 9.26s] Loss: 0.004790 
2019-03-12 18:55:17,424 - ClusterTrainer - INFO -    > [403328/517313 (78%), 8.63s] Loss: 0.004390 
2019-03-12 18:55:20,441 - ClusterTrainer - INFO -    > [411392/517313 (79%), 8.09s] Loss: 0.004982 
2019-03-12 18:55:23,459 - ClusterTrainer - INFO -    > [419456/517313 (81%), 7.41s] Loss: 0.004468 
2019-03-12 18:55:26,482 - ClusterTrainer - INFO -    > [427520/517313 (83%), 6.82s] Loss: 0.004642 
2019-03-12 18:55:29,497 - ClusterTrainer - INFO -    > [435584/517313 (84%), 6.23s] Loss: 0.004352 
2019-03-12 18:55:32,519 - ClusterTrainer - INFO -    > [443648/517313 (86%), 5.63s] Loss: 0.004300 
2019-03-12 18:55:35,531 - ClusterTrainer - INFO -    > [451712/517313 (87%), 4.99s] Loss: 0.004286 
2019-03-12 18:55:38,543 - ClusterTrainer - INFO -    > [459776/517313 (89%), 4.38s] Loss: 0.004205 
2019-03-12 18:55:41,547 - ClusterTrainer - INFO -    > [467840/517313 (90%), 3.76s] Loss: 0.004556 
2019-03-12 18:55:44,552 - ClusterTrainer - INFO -    > [475904/517313 (92%), 3.13s] Loss: 0.004298 
2019-03-12 18:55:47,560 - ClusterTrainer - INFO -    > [483968/517313 (94%), 2.53s] Loss: 0.004299 
2019-03-12 18:55:50,566 - ClusterTrainer - INFO -    > [492032/517313 (95%), 1.94s] Loss: 0.004392 
2019-03-12 18:55:53,575 - ClusterTrainer - INFO -    > [500096/517313 (97%), 1.32s] Loss: 0.004052 
2019-03-12 18:55:56,581 - ClusterTrainer - INFO -    > [508160/517313 (98%), 0.71s] Loss: 0.004380 
2019-03-12 18:55:59,590 - ClusterTrainer - INFO -    > [516224/517313 (100%), 0.10s] Loss: 0.004140 
2019-03-12 18:56:00,005 - ClusterTrainer - INFO -    > Total loss: 0.005169
2019-03-12 18:56:00,006 - ClusterTrainer - INFO - Valid Epoch: 1
2019-03-12 18:56:00,048 - ClusterTrainer - INFO -    > [128/27436 (0%), 0.68s] Loss: 0.009508 
2019-03-12 18:56:02,636 - ClusterTrainer - INFO -    > [8192/27436 (29%), 0.49s] Loss: 0.009184 
2019-03-12 18:56:05,226 - ClusterTrainer - INFO -    > [16256/27436 (59%), 0.28s] Loss: 0.008711 
2019-03-12 18:56:07,825 - ClusterTrainer - INFO -    > [24320/27436 (88%), 0.08s] Loss: 0.004648 
2019-03-12 18:56:08,833 - ClusterTrainer - INFO -    > Total loss: 0.008072
2019-03-12 19:06:38,673 - ClusterTrainer - INFO - Saving best checkpoint: logs/conv_ae_horoma/0312_160210/1/best_checkpoint.pth ...
2019-03-12 19:07:18,404 - ClusterTrainer - INFO - Saving best checkpoint: logs/conv_ae_horoma/0312_160210/1/best_checkpoint_kmeans20-F1.pth ...
2019-03-12 19:08:07,274 - ClusterTrainer - INFO - Saving best checkpoint: logs/conv_ae_horoma/0312_160210/1/best_checkpoint_kmeans20-accuracy.pth ...
2019-03-12 19:08:54,245 - ClusterTrainer - INFO - Saving best checkpoint: logs/conv_ae_horoma/0312_160210/1/best_checkpoint_kmeans100-accuracy.pth ...
2019-03-12 19:09:32,863 - ClusterTrainer - INFO - Saving best checkpoint: logs/conv_ae_horoma/0312_160210/1/best_checkpoint_kmeans300-F1.pth ...
2019-03-12 19:11:58,704 - ClusterTrainer - INFO - Saving best checkpoint: logs/conv_ae_horoma/0312_160210/1/best_checkpoint_kmeans300-accuracy.pth ...
2019-03-12 19:11:58,705 - ClusterTrainer - INFO - Train Epoch: 2
2019-03-12 19:11:58,789 - ClusterTrainer - INFO -    > [128/517313 (0%), 40.47s] Loss: 0.004446 
2019-03-12 19:12:01,817 - ClusterTrainer - INFO -    > [8192/517313 (2%), 38.85s] Loss: 0.004386 
2019-03-12 19:12:04,848 - ClusterTrainer - INFO -    > [16256/517313 (3%), 38.03s] Loss: 0.004526 
2019-03-12 19:12:07,873 - ClusterTrainer - INFO -    > [24320/517313 (5%), 37.45s] Loss: 0.004419 
2019-03-12 19:12:10,900 - ClusterTrainer - INFO -    > [32384/517313 (6%), 37.37s] Loss: 0.003990 
2019-03-12 19:12:13,934 - ClusterTrainer - INFO -    > [40448/517313 (8%), 36.74s] Loss: 0.004151 
2019-03-12 19:12:16,959 - ClusterTrainer - INFO -    > [48512/517313 (9%), 35.90s] Loss: 0.004373 
2019-03-12 19:12:19,975 - ClusterTrainer - INFO -    > [56576/517313 (11%), 35.47s] Loss: 0.004057 
2019-03-12 19:12:22,990 - ClusterTrainer - INFO -    > [64640/517313 (12%), 33.95s] Loss: 0.004037 
2019-03-12 19:12:25,995 - ClusterTrainer - INFO -    > [72704/517313 (14%), 33.28s] Loss: 0.004292 
2019-03-12 19:12:29,005 - ClusterTrainer - INFO -    > [80768/517313 (16%), 33.18s] Loss: 0.004123 
2019-03-12 19:12:32,018 - ClusterTrainer - INFO -    > [88832/517313 (17%), 32.51s] Loss: 0.004111 
2019-03-12 19:12:35,023 - ClusterTrainer - INFO -    > [96896/517313 (19%), 31.87s] Loss: 0.004044 
2019-03-12 19:12:38,039 - ClusterTrainer - INFO -    > [104960/517313 (20%), 31.40s] Loss: 0.004090 
2019-03-12 19:12:41,046 - ClusterTrainer - INFO -    > [113024/517313 (22%), 30.29s] Loss: 0.004216 
2019-03-12 19:12:44,060 - ClusterTrainer - INFO -    > [121088/517313 (23%), 30.07s] Loss: 0.004088 
2019-03-12 19:12:47,073 - ClusterTrainer - INFO -    > [129152/517313 (25%), 29.41s] Loss: 0.003923 
2019-03-12 19:12:50,080 - ClusterTrainer - INFO -    > [137216/517313 (26%), 28.95s] Loss: 0.003882 
2019-03-12 19:12:53,098 - ClusterTrainer - INFO -    > [145280/517313 (28%), 28.67s] Loss: 0.003906 
2019-03-12 19:12:56,114 - ClusterTrainer - INFO -    > [153344/517313 (30%), 27.77s] Loss: 0.003871 
2019-03-12 19:12:59,131 - ClusterTrainer - INFO -    > [161408/517313 (31%), 27.17s] Loss: 0.003937 
2019-03-12 19:13:02,149 - ClusterTrainer - INFO -    > [169472/517313 (33%), 26.54s] Loss: 0.004177 
2019-03-12 19:13:05,156 - ClusterTrainer - INFO -    > [177536/517313 (34%), 25.66s] Loss: 0.003881 
2019-03-12 19:13:08,174 - ClusterTrainer - INFO -    > [185600/517313 (36%), 24.90s] Loss: 0.003678 
2019-03-12 19:13:11,198 - ClusterTrainer - INFO -    > [193664/517313 (37%), 24.52s] Loss: 0.003529 
2019-03-12 19:13:14,226 - ClusterTrainer - INFO -    > [201728/517313 (39%), 24.38s] Loss: 0.003958 
2019-03-12 19:13:17,260 - ClusterTrainer - INFO -    > [209792/517313 (41%), 24.00s] Loss: 0.003683 
2019-03-12 19:13:20,285 - ClusterTrainer - INFO -    > [217856/517313 (42%), 22.95s] Loss: 0.003464 
2019-03-12 19:13:23,314 - ClusterTrainer - INFO -    > [225920/517313 (44%), 22.64s] Loss: 0.003901 
2019-03-12 19:13:26,342 - ClusterTrainer - INFO -    > [233984/517313 (45%), 21.59s] Loss: 0.003681 
2019-03-12 19:13:29,369 - ClusterTrainer - INFO -    > [242048/517313 (47%), 21.02s] Loss: 0.004031 
2019-03-12 19:13:32,403 - ClusterTrainer - INFO -    > [250112/517313 (48%), 20.34s] Loss: 0.003572 
2019-03-12 19:13:35,429 - ClusterTrainer - INFO -    > [258176/517313 (50%), 19.60s] Loss: 0.003638 
2019-03-12 19:13:38,460 - ClusterTrainer - INFO -    > [266240/517313 (51%), 19.09s] Loss: 0.003923 
2019-03-12 19:13:41,492 - ClusterTrainer - INFO -    > [274304/517313 (53%), 18.40s] Loss: 0.003905 
2019-03-12 19:13:44,518 - ClusterTrainer - INFO -    > [282368/517313 (55%), 17.96s] Loss: 0.003656 
2019-03-12 19:13:47,550 - ClusterTrainer - INFO -    > [290432/517313 (56%), 17.64s] Loss: 0.003573 
2019-03-12 19:13:50,580 - ClusterTrainer - INFO -    > [298496/517313 (58%), 16.76s] Loss: 0.003865 
